游民||1|1||||||||2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|||||
见习剑士||11|1|0|0||||||4|3|3|0|3|3|3|4|4|3|4|3|0|4|3|4|4|4|4|4|4|4|4|||||
剑士||12|1|5000|10000||||||6|3|3|0|3|3|3|6|6|3|6|3|0|6|3|6|6|6|6|6|6|6|6|||||
王宫剑士||13|1|10000|50000||||||8|3|3|0|3|3|3|8|8|3|8|3|0|8|3|8|8|8|8|8|8|8|8|||||
剑术师范||14|1|20000|100000||||||10|3|3|0|3|3|3|10|10|3|10|3|0|10|3|10|10|10|10|10|10|10|10|||||
剑术大师||15|1|40000|160000||||||11|4|4|0|4|4|4|11|11|4|11|4|0|11|4|10|10|10|10|10|10|10|10|||||
武士||16|1|1000000|10000000||||||11|3|3|0|3|3|3|11|11|3|11|3|0|11|3|10|10|10|10|10|10|10|10|||||
剑圣||17|1|1000000|10000000||||||11|3|3|0|3|3|3|11|11|3|11|3|0|11|3|10|10|10|10|10|10|10|10|||||
见习战斧斗士||21|1|0|0||||||3|4|3|0|3|3|3|4|4|3|4|3|0|4|3|4|4|4|4|4|4|4|4|||||
战斧斗士||22|1|5000|10000||||||3|6|3|0|3|3|3|6|6|3|6|3|0|6|3|6|6|6|6|6|6|6|6|||||
王宫战斧斗士||23|1|10000|50000||||||3|8|3|0|3|3|3|8|8|3|8|3|0|8|3|8|8|8|8|8|8|8|8|||||
战斧师范||24|1|20000|100000||||||3|10|3|0|3|3|3|10|10|3|10|3|0|10|3|10|10|10|10|10|10|10|10|||||
战斧大师||25|1|40000|160000||||||4|11|4|0|4|4|4|11|11|4|11|4|0|11|4|10|10|10|10|10|10|10|10|||||
狂战士||26|1|1000000|10000000||||||3|11|3|0|3|3|3|11|11|3|11|3|0|11|3|10|10|10|10|10|10|10|10|||||
破坏王||27|1|1000000|10000000||||||3|11|3|0|3|3|3|11|11|3|11|3|0|11|3|10|10|10|10|10|10|10|10|||||
见习骑士||31|1|0|0||||||3|3|4|0|3|3|3|4|4|3|4|3|0|4|3|4|4|4|4|4|4|4|4|||||
